Date,SO2_lat,SO2_long,Daily Max 1-hour SO2 Concentration,EQ_lat,EQ_long,mag,WIND DIRECTION,WIND SPEED,TEMPERATURE AT 2 METERS,RELATIVE HUMIDITY,Days_Since_EQ_Activity,Risk_Label
734586.0,19.71756222,-155.1105295,0.8,19.863,-155.133,4.88,155.790427846265,3.28759970993473,2.86976069615663,77.4133430021755,0.0,0.0
734586.0,19.4205060005923,-155.287853,0.0,19.863,-155.133,4.88,155.790427846265,3.28759970993473,2.86976069615663,77.4133430021755,0.0,0.0
734586.0,19.2039,-155.4801833,365.2,19.863,-155.133,4.88,155.790427846265,3.28759970993473,2.86976069615663,77.4133430021755,0.0,2.0
734586.0,19.4308,-155.2578,0.0,19.863,-155.133,4.88,155.790427846265,3.28759970993473,2.86976069615663,77.4133430021755,0.0,0.0
734586.0,19.555444,-155.102028,0.8,19.863,-155.133,4.88,155.790427846265,3.28759970993473,2.86976069615663,77.4133430021755,0.0,0.0
734586.0,19.46398872,-154.8987058,2.2,19.863,-155.133,4.88,155.790427846265,3.28759970993473,2.86976069615663,77.4133430021755,0.0,0.0
734586.0,19.117561,-155.778136,93.0,19.863,-155.133,4.88,155.790427846265,3.28759970993473,2.86976069615663,77.4133430021755,0.0,0.0
734586.0,19.50977778,-155.9134167,15.3,19.863,-155.133,4.88,155.790427846265,3.28759970993473,2.86976069615663,77.4133430021755,0.0,0.0
734587.0,19.117561,-155.778136,33.6,,,0.0,177.712418300653,3.88351488743645,2.82222222222222,78.5461147421931,1.0,0.0
734587.0,19.71756222,-155.1105295,0.9,,,0.0,177.712418300653,3.88351488743645,2.82222222222222,78.5461147421931,1.0,0.0
734587.0,19.555444,-155.102028,0.9,,,0.0,177.712418300653,3.88351488743645,2.82222222222222,78.5461147421931,1.0,0.0
734587.0,19.46398872,-154.8987058,2.1,,,0.0,177.712418300653,3.88351488743645,2.82222222222222,78.5461147421931,1.0,0.0
734587.0,19.2039,-155.4801833,138.4,,,0.0,177.712418300653,3.88351488743645,2.82222222222222,78.5461147421931,1.0,1.0
734587.0,19.4205060005923,-155.287853,10.0,,,0.0,177.712418300653,3.88351488743645,2.82222222222222,78.5461147421931,1.0,0.0
734587.0,19.50977778,-155.9134167,6.4,,,0.0,177.712418300653,3.88351488743645,2.82222222222222,78.5461147421931,1.0,0.0
734587.0,19.4308,-155.2578,0.0,,,0.0,177.712418300653,3.88351488743645,2.82222222222222,78.5461147421931,1.0,0.0
734588.0,19.117561,-155.778136,39.9,,,0.0,252.569784172661,3.73510791366906,1.92690647482014,65.005035971223,2.0,0.0
734588.0,19.555444,-155.102028,2.2,,,0.0,252.569784172661,3.73510791366906,1.92690647482014,65.005035971223,2.0,0.0
734588.0,19.2039,-155.4801833,164.0,,,0.0,252.569784172661,3.73510791366906,1.92690647482014,65.005035971223,2.0,1.0
734588.0,19.71756222,-155.1105295,2.8,,,0.0,252.569784172661,3.73510791366906,1.92690647482014,65.005035971223,2.0,0.0
734588.0,19.4205060005923,-155.287853,0.0,,,0.0,252.569784172661,3.73510791366906,1.92690647482014,65.005035971223,2.0,0.0
734588.0,19.50977778,-155.9134167,24.8,,,0.0,252.569784172661,3.73510791366906,1.92690647482014,65.005035971223,2.0,0.0
734588.0,19.46398872,-154.8987058,2.1,,,0.0,252.569784172661,3.73510791366906,1.92690647482014,65.005035971223,2.0,0.0
734588.0,19.4308,-155.2578,0.0,,,0.0,252.569784172661,3.73510791366906,1.92690647482014,65.005035971223,2.0,0.0
734589.0,19.71756222,-155.1105295,10.1,,,0.0,156.976435935198,4.41170839469808,3.43453608247422,37.5243004418262,3.0,0.0
734589.0,19.4308,-155.2578,0.0,,,0.0,156.976435935198,4.41170839469808,3.43453608247422,37.5243004418262,3.0,0.0
734589.0,19.4205060005923,-155.287853,0.0,,,0.0,156.976435935198,4.41170839469808,3.43453608247422,37.5243004418262,3.0,0.0
734589.0,19.117561,-155.778136,112.3,,,0.0,156.976435935198,4.41170839469808,3.43453608247422,37.5243004418262,3.0,1.0
734589.0,19.50977778,-155.9134167,26.3,,,0.0,156.976435935198,4.41170839469808,3.43453608247422,37.5243004418262,3.0,0.0
734589.0,19.555444,-155.102028,6.7,,,0.0,156.976435935198,4.41170839469808,3.43453608247422,37.5243004418262,3.0,0.0
734589.0,19.2039,-155.4801833,160.3,,,0.0,156.976435935198,4.41170839469808,3.43453608247422,37.5243004418262,3.0,1.0
734589.0,19.46398872,-154.8987058,2.2,,,0.0,156.976435935198,4.41170839469808,3.43453608247422,37.5243004418262,3.0,0.0
734590.0,19.117561,-155.778136,323.0,,,0.0,121.01050420168,5.94271708683473,6.4672969187675,20.9201680672268,4.0,2.0
734590.0,19.71756222,-155.1105295,0.7,,,0.0,121.01050420168,5.94271708683473,6.4672969187675,20.9201680672268,4.0,0.0
734590.0,19.4308,-155.2578,0.0,,,0.0,121.01050420168,5.94271708683473,6.4672969187675,20.9201680672268,4.0,0.0
734590.0,19.2039,-155.4801833,338.0,,,0.0,121.01050420168,5.94271708683473,6.4672969187675,20.9201680672268,4.0,2.0
734590.0,19.4205060005923,-155.287853,0.0,,,0.0,121.01050420168,5.94271708683473,6.4672969187675,20.9201680672268,4.0,0.0
734590.0,19.50977778,-155.9134167,16.3,,,0.0,121.01050420168,5.94271708683473,6.4672969187675,20.9201680672268,4.0,0.0
734590.0,19.46398872,-154.8987058,2.1,,,0.0,121.01050420168,5.94271708683473,6.4672969187675,20.9201680672268,4.0,0.0
