,,Date,latitude,longitude,mag
df_EQ Data.csv,77,8030.0,19.1673333333333,-155.49,3.51
df_EQ Data.csv,78,8029.0,19.216,-155.407166666667,3.14
df_EQ Data.csv,79,8027.0,19.5081666666667,-155.661166666667,3.26
df_EQ Data.csv,80,8025.0,18.834,-155.197666666667,3.49
df_EQ Data.csv,81,8024.0,18.9703333333333,-155.422166666667,3.51
df_EQ Data.csv,82,8023.0,19.1825,-155.4775,3.56
df_EQ Data.csv,83,8020.0,19.3246666666667,-155.201666666667,3.49
df_EQ Data.csv,84,8018.0,19.1693333333333,-155.478833333333,3.21
df_EQ Data.csv,85,8017.0,19.1628333333333,-155.486666666667,3.15
df_EQ Data.csv,86,8016.0,19.2281666666667,-155.418,3.52
df_EQ Data.csv,87,8016.0,19.2015,-155.414333333333,3.32
df_EQ Data.csv,88,8011.0,19.2006666666667,-155.416166666667,3.68
df_EQ Data.csv,89,8011.0,19.1598333333333,-155.474166666667,3.83
df_EQ Data.csv,90,7998.0,19.1605,-155.4905,3.37
df_EQ Data.csv,91,7997.0,19.1676666666667,-155.474666666667,3.24
df_EQ Data.csv,92,7996.0,19.2075,-155.4025,3.27
df_EQ Data.csv,93,7983.0,19.904,-156.8335,3.64
df_EQ Data.csv,94,7982.0,19.1995,-155.435333333333,3.29
df_EQ Data.csv,95,7982.0,19.1871666666667,-155.4835,3.86
df_EQ Data.csv,96,7980.0,19.2078333333333,-155.3835,3.6
df_EQ Data.csv,97,7975.0,18.868,-155.542,4.26
df_EQ Data.csv,98,7975.0,18.8203333333333,-155.527166666667,6.21
df_EQ Data.csv,99,7974.0,19.2231666666667,-155.4145,3.58
df_EQ Data.csv,100,7973.0,19.1891666666667,-155.476833333333,3.5
df_EQ Data.csv,101,7971.0,19.207,-155.3965,3.58
df_EQ Data.csv,102,7971.0,19.2256666666667,-155.398,4.55
df_EQ Data.csv,103,7969.0,19.1891666666667,-155.481,3.55
df_EQ Data.csv,104,7967.0,19.2231666666667,-155.392833333333,3.4
df_EQ Data.csv,105,7965.0,19.3991666666667,-155.2855,2.59
df_EQ Data.csv,106,7965.0,19.4165,-155.279666666667,2.61
df_EQ Data.csv,107,7962.0,19.187,-155.487,3.82
df_EQ Data.csv,108,7960.0,20.6053333333333,-158.551833333333,3.94
df_EQ Data.csv,109,7955.0,19.244,-155.396,3.62
df_EQ Data.csv,110,7948.0,19.1856666666667,-155.469,1.92
df_EQ Data.csv,111,7947.0,19.221,-155.4165,3.81
df_EQ Data.csv,112,7944.0,19.1818333333333,-155.353833333333,3.51
df_EQ Data.csv,113,7942.0,18.7136666666667,-155.230333333333,3.59
df_EQ Data.csv,114,7942.0,19.1698333333333,-155.4695,3.42
df_EQ Data.csv,115,7935.0,19.1831666666667,-155.509166666667,3.19
df_EQ Data.csv,116,7935.0,19.3275,-155.122,3.67
df_EQ Data.csv,117,7930.0,19.4028333333333,-155.288666666667,1.99
df_EQ Data.csv,118,7926.0,19.2171666666667,-155.414833333333,3.27
df_EQ Data.csv,119,7925.0,19.2385,-155.391833333333,3.28
df_EQ Data.csv,120,7925.0,19.2385005950928,-155.39533996582,2.93
df_EQ Data.csv,121,7923.0,19.2143333333333,-155.393333333333,4.06
df_EQ Data.csv,122,7919.0,19.1855,-155.464166666667,3.87
df_EQ Data.csv,123,7914.0,19.3818333333333,-155.245333333333,1.94
df_EQ Data.csv,124,7903.0,19.2171666666667,-155.416333333333,3.33
df_EQ Data.csv,125,7897.0,19.3591666666667,-155.254666666667,3.43
df_EQ Data.csv,126,7887.0,19.2516666666667,-155.381333333333,3.42
df_EQ Data.csv,127,7882.0,19.8731666666667,-156.664166666667,4.17
df_EQ Data.csv,128,7880.0,20.2203333333333,-155.63,5.17
df_EQ Data.csv,129,7878.0,19.164,-155.482,3.33
df_EQ Data.csv,130,7875.0,19.1775,-155.456833333333,3.28
df_EQ Data.csv,131,7871.0,19.2218333333333,-155.421333333333,1.88
df_EQ Data.csv,132,7868.0,18.9893333333333,-155.451,3.59
df_EQ Data.csv,133,7863.0,19.2555,-155.395666666667,3.45
df_EQ Data.csv,134,7863.0,19.2303333333333,-155.402166666667,4.46
