,,Date,latitude,longitude,mag
df_2011-2018-DYFI.csv,81,736903.0,19.4066667,-155.2903333,3.27
df_2011-2018-DYFI.csv,82,736903.0,19.4101667,-155.2691667,3.53
df_2011-2018-DYFI.csv,83,736902.0,19.4088333,-155.261,3.37
df_2011-2018-DYFI.csv,84,736902.0,19.416,-155.2775,3.44
df_2011-2018-DYFI.csv,85,736902.0,19.1916667,-155.4978333,3.76
df_2011-2018-DYFI.csv,86,736902.0,19.4085,-155.2868333,3.13
df_2011-2018-DYFI.csv,87,736902.0,19.4125,-155.2656667,3.6
df_2011-2018-DYFI.csv,88,736902.0,19.4473333,-155.4711667,1.04
df_2011-2018-DYFI.csv,89,736901.0,19.413,-155.2653333,3.27
df_2011-2018-DYFI.csv,90,736901.0,19.4113333,-155.2828333,2.76
df_2011-2018-DYFI.csv,91,736901.0,19.4156667,-155.2631667,3.52
df_2011-2018-DYFI.csv,92,736901.0,19.403,-155.272,3.47
df_2011-2018-DYFI.csv,93,736901.0,19.4168333,-155.271,3.15
df_2011-2018-DYFI.csv,94,736901.0,19.3916667,-155.278,3.17
df_2011-2018-DYFI.csv,95,736901.0,19.516,-155.7196667,1.49
df_2011-2018-DYFI.csv,96,736901.0,19.416,-155.277,3.41
df_2011-2018-DYFI.csv,97,736901.0,19.3681667,-155.0126667,1.49
df_2011-2018-DYFI.csv,98,736901.0,19.3955,-155.2676667,3.43
df_2011-2018-DYFI.csv,99,736901.0,19.4076667,-155.2861667,3.09
df_2011-2018-DYFI.csv,100,736901.0,19.3941667,-155.2788333,3.37
df_2011-2018-DYFI.csv,101,736901.0,19.415,-155.2776667,3.6
df_2011-2018-DYFI.csv,102,736901.0,19.3991667,-155.2828333,3.92
df_2011-2018-DYFI.csv,103,736901.0,19.3995,-155.2645,3.57
df_2011-2018-DYFI.csv,104,736901.0,19.4155,-155.2763333,3.62
df_2011-2018-DYFI.csv,105,736901.0,19.4125,-155.2806667,2.75
df_2011-2018-DYFI.csv,106,736900.0,19.414,-155.2643333,3.02
df_2011-2018-DYFI.csv,107,736900.0,19.4125,-155.2768333,2.81
df_2011-2018-DYFI.csv,108,736899.0,19.4141667,-155.2821667,5.3
df_2011-2018-DYFI.csv,109,736899.0,19.418,-155.271,2.96
df_2011-2018-DYFI.csv,110,736899.0,19.4105,-155.2638333,3.44
df_2011-2018-DYFI.csv,111,736899.0,19.4001667,-155.2736667,3.36
df_2011-2018-DYFI.csv,112,736899.0,19.3973333,-155.2683333,3.55
df_2011-2018-DYFI.csv,113,736899.0,19.409,-155.2688333,2.65
df_2011-2018-DYFI.csv,114,736899.0,19.4068333,-155.2858333,3.12
df_2011-2018-DYFI.csv,115,736899.0,19.4141667,-155.2625,3.59
df_2011-2018-DYFI.csv,116,736899.0,19.415,-155.2728333,3.26
df_2011-2018-DYFI.csv,117,736899.0,19.4165,-155.2596667,3.0
df_2011-2018-DYFI.csv,118,736899.0,19.4108333,-155.2916667,3.03
df_2011-2018-DYFI.csv,119,736899.0,19.3978333,-155.267,2.74
df_2011-2018-DYFI.csv,120,736899.0,19.4153333,-155.276,3.82
df_2011-2018-DYFI.csv,121,736898.0,19.4101667,-155.2833333,5.3
df_2011-2018-DYFI.csv,122,736898.0,19.4048333,-155.287,3.6
df_2011-2018-DYFI.csv,123,736898.0,19.396,-155.2665,3.84
df_2011-2018-DYFI.csv,124,736898.0,19.4145,-155.2636667,3.01
df_2011-2018-DYFI.csv,125,736898.0,19.4048333,-155.2735,3.01
df_2011-2018-DYFI.csv,126,736898.0,19.4121667,-155.2626667,3.12
df_2011-2018-DYFI.csv,127,736898.0,19.4151667,-155.276,3.2
df_2011-2018-DYFI.csv,128,736898.0,19.4131667,-155.2753333,3.57
df_2011-2018-DYFI.csv,129,736898.0,19.399,-155.2755,3.62
df_2011-2018-DYFI.csv,130,736897.0,19.4138333,-155.2635,3.41
df_2011-2018-DYFI.csv,131,736897.0,19.4105,-155.2795,3.67
df_2011-2018-DYFI.csv,132,736897.0,19.399,-155.269,3.4
df_2011-2018-DYFI.csv,133,736897.0,19.3985,-155.2811667,3.23
df_2011-2018-DYFI.csv,134,736897.0,19.4,-155.2733333,2.64
df_2011-2018-DYFI.csv,135,736897.0,19.414,-155.283,3.57
df_2011-2018-DYFI.csv,136,736897.0,19.413,-155.2615,3.06
df_2011-2018-DYFI.csv,137,736897.0,19.4126667,-155.2625,3.24
df_2011-2018-DYFI.csv,138,736896.0,19.4018333,-155.288,5.3
df_2011-2018-DYFI.csv,139,736896.0,19.3871,-155.273,3.8
df_2011-2018-DYFI.csv,140,736896.0,19.4146667,-155.2786667,3.54
df_2011-2018-DYFI.csv,141,736896.0,19.3968333,-155.2766667,3.32
df_2011-2018-DYFI.csv,142,736896.0,19.4071667,-155.2863333,2.68
df_2011-2018-DYFI.csv,143,736896.0,19.4125,-155.2613333,3.02
