,Date,Daily Max 1-hour SO2 Concentration,mag,WIND DIRECTION,WIND SPEED,BAROMETRIC PRESSURE,TEMPERATURE AT 2 METERS,TEMPERATURE AT 10 METERS,TEMPERATURE AT TOWER TOP,RELATIVE HUMIDITY,PRECIPITATION INTENSITY,Distance
0,734138.0,55.475,0.0,142.70048644892287,-0.4140375260597635,670.2854760250174,0.79728978457262,1.237595552466991,1.2011813759555248,20.96177901320361,-0.4815844336344684,
1,734139.0,26.358333333333334,0.0,120.51980542043086,1.7381514940931204,667.4483669214732,-0.8466296038915914,-1.4896455872133425,-1.8440583738707437,26.245309242529533,-0.6191799861014593,
2,734140.0,16.55,0.0,135.2946490618485,3.3423905489923555,668.6560111188326,-1.0476719944405837,-1.5662960389159135,-1.869353717859625,27.59277275886032,-0.6191799861014593,
3,734141.0,18.599999999999998,0.0,120.23210562890895,1.234885337039611,668.8375955524671,0.1005559416261292,-0.4013898540653229,-0.5421125781792911,15.736622654621264,-0.6191799861014593,
4,734142.0,50.36666666666667,0.0,114.89298123697012,0.2271021542738013,669.885406532314,3.1535093815149406,2.600416956219597,2.565879082696317,22.22585128561501,-0.4815844336344684,
5,734143.0,70.53333333333333,0.0,245.88186240444756,-3.0940931202223765,666.1599722029187,-0.7153578874218205,-0.8386379430159832,-0.6615010423905489,19.97915218902015,-0.6191799861014593,
6,734144.0,18.763636363636365,0.0,229.99513551077135,-0.3234885337039609,666.3884642112578,-0.0516330785267546,-0.4729673384294648,0.2722724113968033,16.205698401667824,-0.4815844336344684,
7,734145.0,16.566666666666666,0.0,228.46004169562195,1.6624739402362754,659.9276580958999,-6.930298818624044,-7.175052119527449,-6.535093815149409,42.58790826963169,-0.6838082001389854,
8,734146.0,138.83333333333334,0.0,244.35858234885336,5.112161223071578,662.5196664350243,-4.393884642112578,-4.712508686587908,-4.437734537873523,17.463516330785268,-0.6879777623349548,
9,734147.0,111.2909090909091,0.0,204.726893676164,1.1980542043085478,663.2153578874219,-1.8104933981931892,-2.233217512161223,-1.6135510771369004,15.583043780403058,-0.6191799861014593,
10,734148.0,77.46000000000001,0.0,230.96316886726893,2.738498957609451,665.3255038220987,-0.9003474635163308,-1.8046560111188323,-1.9818624044475328,75.91243919388464,-0.2001389854065323,
11,734149.0,80.375,0.0,180.1841556636553,0.5299513551077139,661.3798471160528,-3.0063933287004865,-3.618137595552467,-3.5507991660875606,68.7032661570535,-0.6483669214732453,
12,734150.0,144.28333333333333,0.0,194.66851980542043,5.840166782487839,665.7269631688672,-0.4050034746351632,-0.8920083391243917,-0.8507296733842945,48.8408617095205,-0.635858234885337,
13,734151.0,68.21666666666667,0.0,177.4878387769284,-0.6875608061153577,672.4125781792911,2.1088255733148022,1.6988881167477414,1.691104933981932,55.76164002779708,-0.5503822098679638,
14,734152.0,30.641666666666666,0.0,166.66643502432245,-1.6712300208478108,671.7914523974982,0.2097984711605282,0.2029881862404449,0.4032661570535096,42.16956219596943,-0.6191799861014593,
15,734153.0,118.60833333333333,0.0,134.87977762334955,0.0045865184155665,669.4377345378736,0.2183460736622655,-0.5166782487838776,-0.4629603891591382,23.02640722724114,-0.6191799861014593,
16,734154.0,124.96666666666665,0.0,211.7303683113273,-0.8076441973592772,668.4966643502432,-0.929256428075052,-1.721195274496178,-1.8480889506601803,48.00138985406532,-0.4815844336344684,
17,734155.0,60.35454545454545,0.0,237.39263377345375,-2.1612230715774845,665.6170952050035,-3.197845726198749,-3.8377345378735233,-3.1343988881167477,32.816539263377344,-0.6087560806115357,
18,734156.0,57.583333333333336,0.0,71.57142857142857,-3.9506364922206503,663.3324611032532,-176.05685997171145,-109.40855728429985,-138.14794908062234,47.127298444130126,-0.4306930693069307,
19,734157.0,83.84166666666667,0.0,141.19624217118997,4.780306193458594,661.3066109951287,-35.182811412665274,-37.11294363256785,-45.24126652748782,73.74460681976339,-0.5031315240083507,
20,734158.0,24.816666666666666,0.0,134.6884561891516,-3.8104311543810847,661.3998609179416,-25.05744089012517,-24.432614742698192,-28.68018080667594,37.863699582753824,-1.032684283727399,
21,734159.0,12.416666666666666,0.0,136.6706045865184,-1.3955524669909658,670.1418346073663,1.770326615705351,2.193467685892981,2.135024322446143,27.9186935371786,-0.4815844336344684,
22,734160.0,26.566666666666666,0.0,109.67199444058376,-0.2262682418346072,667.6708130646282,1.1595552466990966,0.7773453787352329,1.004239054899236,17.036831132731063,-0.6191799861014593,
23,734161.0,24.733333333333334,0.0,116.60875608061154,3.812230715774844,669.9885337039611,2.546629603891591,2.177901320361362,2.2717859624739405,9.398888116747742,-0.4815844336344684,
24,734162.0,90.47500000000001,0.0,109.83403361344538,-1.4080532212885153,666.5607843137255,1.2259103641456583,0.873529411764706,1.156862745098039,14.233193277310924,-0.6932773109243697,
25,734163.0,17.474999999999998,0.0,113.44336344683808,-3.165392633773454,667.5095205003474,1.319874913134121,1.8257123002084783,1.4517720639332872,17.92981236970118,-0.6191799861014593,
26,734164.0,31.925,0.0,113.43085476025016,1.0095205003474637,670.2644197359277,2.1867268936761644,1.5261987491313411,1.4704656011118833,18.24461431549687,-0.4815844336344684,
27,734165.0,43.35454545454545,0.0,109.41904100069492,-1.40632383599722,668.9585128561502,1.9120222376650453,1.3861014593467689,1.327727588603197,16.507296733842946,-0.6191799861014593,
28,734166.0,48.32727272727273,0.0,159.35163307852676,-0.8740097289784572,671.3387769284225,2.3164002779708133,2.295552466990966,2.0847810979847115,25.9728978457262,-0.4815844336344684,
