,,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
df_EQ Data.csv,20,8170.0,19.4256666666667,-155.6235,-0.95,3.45,ml,50.0,81,,0.17,hv,hv72990157,2022-06-26T01:19:59.040Z,"25 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.21,0.31,0.142240785924153,36,reviewed,hv,hv
df_EQ Data.csv,21,8169.0,19.2096666666667,-155.371833333333,33.36,3.25,ml,58.0,160,,0.14,hv,hv72989102,2022-06-26T01:19:32.040Z,"11 km E of P?hala, Hawaii",earthquake,0.4,0.46,0.15304428715074697,35,reviewed,hv,hv
df_EQ Data.csv,22,8165.0,19.2383333333333,-155.397333333333,32.86,3.05,ml,55.0,116,,0.13,hv,hv72984587,2022-06-20T22:08:30.040Z,"9 km ENE of P?hala, Hawaii",earthquake,0.4,0.55,0.21450410468969897,39,reviewed,hv,hv
df_EQ Data.csv,23,8165.0,19.217833333333303,-155.388333333333,31.58,4.63,ml,50.0,155,,0.13,hv,hv72984552,2022-06-20T22:08:31.040Z,"9 km E of P?hala, Hawaii",earthquake,0.42,0.5,0.17693968689981301,39,reviewed,hv,hv
df_EQ Data.csv,24,8165.0,19.2383333333333,-155.403666666667,34.21,4.33,ml,54.0,116,,0.13,hv,hv72984557,2022-10-14T19:20:49.412Z,"8 km ENE of P?hala, Hawaii",earthquake,0.38,0.47,0.192131669814092,36,reviewed,hv,hv
df_EQ Data.csv,25,8157.0,19.199833333333302,-155.43516666666702,33.67,3.7,ml,59.0,137,,0.11,hv,hv72976872,2022-06-11T20:21:13.040Z,"4 km E of P?hala, Hawaii",earthquake,0.35,0.4,0.20937156488087802,41,reviewed,hv,hv
df_EQ Data.csv,26,8157.0,19.183,-155.4825,34.82,3.37,ml,57.0,73,,0.12,hv,hv72976252,2022-06-11T20:21:09.040Z,"2 km S of P?hala, Hawaii",earthquake,0.42,0.55,0.205457104220907,37,reviewed,hv,hv
df_EQ Data.csv,27,8154.0,18.8288333333333,-155.15266666666702,7.09,3.29,ml,48.0,269,,0.15,hv,hv72972882,2022-06-11T20:21:02.040Z,"52 km ESE of Naalehu, Hawaii",earthquake,0.51,0.36,0.153241357471734,41,reviewed,hv,hv
df_EQ Data.csv,28,8150.0,19.178166666666698,-155.507,36.24,3.4,ml,52.0,100,,0.1,hv,hv72967212,2022-06-04T20:42:23.040Z,"4 km SW of P?hala, Hawaii",earthquake,0.52,0.62,0.16890713369996302,38,reviewed,hv,hv
df_EQ Data.csv,29,8150.0,19.2063333333333,-155.399166666667,32.96,3.71,ml,57.0,157,,0.13,hv,hv72967067,2022-06-04T20:42:23.040Z,"8 km E of P?hala, Hawaii",earthquake,0.42,0.52,0.229274516618602,38,reviewed,hv,hv
df_EQ Data.csv,30,8149.0,19.42,-155.616166666667,-0.79,3.51,ml,47.0,79,,0.16,hv,hv72966117,2022-06-04T20:42:18.040Z,"26 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.53,0.17690723869245897,30,reviewed,hv,hv
df_EQ Data.csv,31,8149.0,19.899333333333303,-156.09133333333298,46.54,3.36,ml,48.0,300,,0.12,hv,hv72965652,2022-06-04T20:42:17.040Z,"22 km NNW of Kalaoa, Hawaii",earthquake,0.85,1.14,0.14072099212551,19,reviewed,hv,hv
df_EQ Data.csv,32,8146.0,19.3726666666667,-155.066,6.73,3.3,ml,50.0,156,,0.13,hv,hv72963027,2022-06-04T20:42:07.040Z,"Island of Hawaii, Hawaii",earthquake,0.4,0.29,0.11301489375882301,36,reviewed,hv,hv
df_EQ Data.csv,33,8146.0,19.7211,-157.4355,5.0,3.5,ml,,203,1.338,0.66,us,us7000gxi3,2022-06-04T20:42:06.040Z,"133 km SSW of Lanai City, Hawaii",earthquake,2.8,2.0,0.045,64,reviewed,us,us
df_EQ Data.csv,34,8140.0,19.858,-155.5675,23.54,4.54,ml,56.0,117,,0.11,hv,hv72956917,2022-07-26T22:33:47.490Z,"21 km SSE of Waimea, Hawaii",earthquake,0.4,0.73,0.17269608181619198,43,reviewed,hv,hv
df_EQ Data.csv,35,8139.0,19.2215,-156.365166666667,39.7,3.51,ml,55.0,288,,0.15,hv,hv72955967,2022-05-28T18:35:19.040Z,"55 km WSW of Captain Cook, Hawaii",earthquake,0.78,1.24,0.17655993898599104,28,reviewed,hv,hv
df_EQ Data.csv,36,8139.0,19.1913333333333,-155.504,35.73,3.5,ml,58.0,71,,0.11,hv,hv72955787,2022-05-28T18:35:18.040Z,"2 km WSW of P?hala, Hawaii",earthquake,0.41,0.49,0.19029555708937199,39,reviewed,hv,hv
df_EQ Data.csv,37,8138.0,19.202,-155.3975,30.66,3.28,ml,56.0,159,,0.12,hv,hv72954502,2022-05-27T14:55:36.040Z,"8 km E of P?hala, Hawaii",earthquake,0.47,0.56,0.178932272660203,40,reviewed,hv,hv
df_EQ Data.csv,38,8132.0,19.1995,-155.386166666667,31.64,3.25,ml,59.0,161,,0.13,hv,hv72947797,2022-05-27T14:55:19.040Z,"9 km E of P?hala, Hawaii",earthquake,0.39,0.45,0.187344280631001,40,reviewed,hv,hv
df_EQ Data.csv,39,8128.0,19.248166666666698,-155.388666666667,31.98,3.6,ml,56.0,136,,0.13,hv,hv72943142,2022-05-14T21:52:24.040Z,"10 km ENE of P?hala, Hawaii",earthquake,0.4,0.45,0.14279725668085902,44,reviewed,hv,hv
df_EQ Data.csv,40,8127.0,19.2386666666667,-155.378833333333,32.33,3.18,ml,53.0,146,,0.12,hv,hv72941782,2022-07-19T18:28:18.388Z,"11 km ENE of P?hala, Hawaii",earthquake,0.46,0.44,0.15228392547274403,39,reviewed,hv,hv
df_EQ Data.csv,41,8127.0,19.162833333333303,-155.476333333333,32.5,3.33,ml,51.0,153,,0.11,hv,hv72941132,2022-05-14T21:52:20.040Z,"4 km S of P?hala, Hawaii",earthquake,0.53,0.61,0.18976133016410102,43,reviewed,hv,hv
df_EQ Data.csv,42,8127.0,19.184333333333303,-155.514,36.07,3.34,ml,45.0,96,,0.09,hv,hv72941037,2022-05-14T21:52:20.040Z,"4 km WSW of P?hala, Hawaii",earthquake,0.6,0.69,0.165193843440652,40,reviewed,hv,hv
df_EQ Data.csv,43,8122.0,19.174,-155.506833333333,36.51,3.15,ml,55.0,93,,0.12,hv,hv72935282,2022-08-06T09:27:08.347Z,"4 km SW of P?hala, Hawaii",earthquake,0.41,0.49,0.18583964938128097,39,reviewed,hv,hv
df_EQ Data.csv,44,8118.0,19.2105,-155.46766666666701,35.98,3.34,ml,55.0,98,,0.11,hv,hv72932122,2022-05-07T21:32:36.040Z,"Island of Hawaii, Hawaii",earthquake,0.37,0.45,0.142357807374257,38,reviewed,hv,hv
df_EQ Data.csv,45,8110.0,19.0225,-155.3225,2.42,3.23,ml,49.0,254,,0.21,hv,hv72923157,2022-05-04T13:38:49.040Z,"25 km SE of P?hala, Hawaii",earthquake,1.35,1.42,0.153120013966949,36,reviewed,hv,hv
df_EQ Data.csv,46,8110.0,19.028666666666698,-155.322833333333,5.89,3.29,ml,50.0,254,,0.18,hv,hv72923152,2022-05-04T13:38:49.040Z,"25 km SE of P?hala, Hawaii",earthquake,0.42,0.68,0.16523735824525698,36,reviewed,hv,hv
df_EQ Data.csv,47,8109.0,19.1726666666667,-155.495333333333,35.03,3.7,ml,57.0,94,,0.11,hv,hv72922627,2022-05-04T13:38:44.040Z,"3 km SSW of P?hala, Hawaii",earthquake,0.38,0.47,0.205692018792033,38,reviewed,hv,hv
df_EQ Data.csv,48,8108.0,19.192333333333302,-155.4745,34.9,3.67,ml,58.0,88,,0.11,hv,hv72921177,2022-04-30T14:18:26.040Z,"1 km SSE of P?hala, Hawaii",earthquake,0.46,0.51,0.19162286104648102,41,reviewed,hv,hv
df_EQ Data.csv,49,8108.0,19.225333333333303,-155.371,32.42,3.43,ml,54.0,154,,0.13,hv,hv72920832,2022-04-30T14:18:24.040Z,"11 km ENE of P?hala, Hawaii",earthquake,0.45,0.5,0.15231988546347,39,reviewed,hv,hv
df_EQ Data.csv,50,8107.0,19.1825,-155.478666666667,36.41,3.54,ml,56.0,77,,0.11,hv,hv72920752,2022-04-30T14:18:24.040Z,"Island of Hawaii, Hawaii",earthquake,0.39,0.45,0.15796962825074498,34,reviewed,hv,hv
df_EQ Data.csv,51,8104.0,18.8274,-156.7987,35.0,3.8,ml,,254,0.98,0.36,us,us7000gkrw,2022-04-30T14:18:12.040Z,"112 km WSW of Hawaiian Ocean View, Hawaii",earthquake,1.5,2.0,0.047,60,reviewed,us,us
df_EQ Data.csv,52,8103.0,19.0186666666667,-155.30883333333298,6.69,3.32,ml,47.0,255,,0.16,hv,hv72916277,2022-04-30T14:18:08.040Z,"27 km SE of P?hala, Hawaii",earthquake,0.44,0.67,0.146733938751719,36,reviewed,hv,hv
df_EQ Data.csv,53,8103.0,19.201,-155.387,31.82,3.34,ml,57.0,161,,0.13,hv,hv72915592,2022-04-30T14:18:05.040Z,"9 km E of P?hala, Hawaii",earthquake,0.41,0.51,0.21119107437195497,41,reviewed,hv,hv
df_EQ Data.csv,54,8100.0,19.2155,-155.406166666667,34.08,3.58,ml,52.0,148,,0.12,hv,hv72911857,2022-04-19T17:39:46.040Z,"7 km E of P?hala, Hawaii",earthquake,0.47,0.51,0.173842638801821,44,reviewed,hv,hv
df_EQ Data.csv,55,8091.0,19.219333333333303,-155.3955,32.78,4.01,ml,58.0,150,,0.13,hv,hv72897042,2022-04-15T17:57:07.040Z,"8 km ENE of P?hala, Hawaii",earthquake,0.41,0.45,0.12455499029984402,40,reviewed,hv,hv
df_EQ Data.csv,56,8086.0,19.1958333333333,-155.399666666667,34.13,3.64,ml,54.0,160,,0.12,hv,hv72890502,2022-04-09T20:19:07.040Z,"8 km E of P?hala, Hawaii",earthquake,0.46,0.5,0.135024646228217,40,reviewed,hv,hv
df_EQ Data.csv,57,8085.0,20.928666666666697,-156.082,41.14,4.67,ml,60.0,206,,0.34,hv,hv72889347,2022-05-22T11:33:00.442Z,"10 km NNE of Wailua, Hawaii",earthquake,1.36,0.65,0.149165173305134,47,reviewed,hv,hv
df_EQ Data.csv,58,8076.0,19.3528333333333,-155.083333333333,6.57,3.5,ml,54.0,158,,0.12,hv,hv72877412,2022-04-01T17:40:13.040Z,"13 km SSE of Fern Forest, Hawaii",earthquake,0.47,0.34,0.11764093685064901,37,reviewed,hv,hv
df_EQ Data.csv,59,8066.0,19.2398333333333,-155.409333333333,32.87,3.27,ml,54.0,131,,0.12,hv,hv72859492,2022-08-06T15:10:05.188Z,"8 km ENE of P?hala, Hawaii",earthquake,0.47,0.6,0.18067805268095496,36,reviewed,hv,hv
df_EQ Data.csv,60,8065.0,19.186166666666697,-155.644333333333,8.38,3.81,ml,54.0,71,,0.17,hv,hv72858117,2022-04-15T12:39:52.714Z,"13 km NNW of Wai‘?hinu, Hawaii",earthquake,0.33,0.47,0.20884700475340198,42,reviewed,hv,hv
df_EQ Data.csv,61,8064.0,19.1771666666667,-155.377166666667,30.16,3.06,ml,54.0,170,,0.13,hv,hv72857727,2022-03-12T22:19:08.040Z,"11 km ESE of P?hala, Hawaii",earthquake,0.45,0.53,0.164436057893461,36,reviewed,hv,hv
df_EQ Data.csv,62,8064.0,19.0335,-156.229833333333,8.56,3.38,md,44.0,265,,0.15,hv,hv72857432,2022-03-12T22:19:07.040Z,"49 km W of Hawaiian Ocean View, Hawaii",earthquake,1.16,1.6,0.0654520688046221,13,reviewed,hv,hv
df_EQ Data.csv,63,8064.0,19.216333333333303,-155.399666666667,33.52,4.25,ml,52.0,151,,0.12,hv,hv72856332,2022-03-12T22:19:05.040Z,"8 km E of P?hala, Hawaii",earthquake,0.48,0.57,0.146094920726004,45,reviewed,hv,hv
df_EQ Data.csv,64,8050.0,18.8561666666667,-155.19233333333298,10.86,3.92,ml,45.0,263,,0.12,hv,hv72845717,2022-03-05T23:10:38.040Z,"47 km ESE of Naalehu, Hawaii",earthquake,0.64,0.83,0.165861775497279,36,reviewed,hv,hv
df_EQ Data.csv,65,8049.0,18.8705,-155.199833333333,10.35,3.34,ml,44.0,260,,0.13,hv,hv72845167,2022-03-05T23:10:37.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.58,0.47,0.171297458703737,35,reviewed,hv,hv
df_EQ Data.csv,66,8049.0,19.240833333333303,-155.389166666667,31.86,3.15,ml,51.0,141,,0.12,hv,hv72845087,2022-03-05T23:10:37.040Z,"10 km ENE of P?hala, Hawaii",earthquake,0.4,0.55,0.187486507579284,36,reviewed,hv,hv
df_EQ Data.csv,67,8049.0,18.8698333333333,-155.234,11.89,4.87,ml,47.0,261,,0.12,hv,hv72844817,2022-03-05T23:10:36.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.55,0.72,0.17605457050469397,39,reviewed,hv,hv
df_EQ Data.csv,68,8049.0,19.2078333333333,-155.433666666667,33.59,3.23,ml,49.0,134,,0.1,hv,hv72844737,2022-03-05T23:10:36.040Z,"4 km E of P?hala, Hawaii",earthquake,0.48,0.53,0.209137802291867,36,reviewed,hv,hv
df_EQ Data.csv,69,8043.0,19.2113333333333,-155.418,33.09,2.98,ml,47.0,143,,0.12,hv,hv72838177,2022-03-01T16:37:21.040Z,"6 km E of P?hala, Hawaii",earthquake,0.39,0.5,0.16944908924722898,32,reviewed,hv,hv
df_EQ Data.csv,70,8043.0,19.206,-155.428333333333,34.69,3.08,ml,50.0,139,,0.11,hv,hv72838047,2022-03-01T16:37:21.040Z,"5 km E of P?hala, Hawaii",earthquake,0.4,0.47,0.13890354809484198,35,reviewed,hv,hv
df_EQ Data.csv,71,8043.0,19.2065,-155.405,32.94,3.3,ml,52.0,154,,0.12,hv,hv72837852,2022-03-01T16:37:17.040Z,"7 km E of P?hala, Hawaii",earthquake,0.41,0.49,0.17237372548505098,30,reviewed,hv,hv
df_EQ Data.csv,72,8042.0,19.172166666666698,-155.468833333333,34.14,3.09,ml,52.0,89,,0.11,hv,hv72837462,2022-03-01T16:37:12.040Z,"3 km SSE of P?hala, Hawaii",earthquake,0.42,0.5,0.19545664283335998,36,reviewed,hv,hv
df_EQ Data.csv,73,8042.0,19.2215,-155.418333333333,32.59,3.48,ml,54.0,137,,0.12,hv,hv72837427,2022-03-01T16:37:11.040Z,"Island of Hawaii, Hawaii",earthquake,0.45,0.52,0.156100037278785,37,reviewed,hv,hv
df_EQ Data.csv,74,8042.0,19.202666666666698,-155.407666666667,34.59,3.46,ml,52.0,156,,0.12,hv,hv72837127,2022-03-01T16:37:08.040Z,"7 km E of P?hala, Hawaii",earthquake,0.42,0.5,0.223423261521905,36,reviewed,hv,hv
df_EQ Data.csv,75,8041.0,19.9018333333333,-156.7945,1.04,3.6,ml,58.0,192,,0.15,hv,hv72836222,2022-02-24T21:02:07.040Z,"87 km WNW of Kalaoa, Hawaii",earthquake,1.21,0.34,0.14253260656136602,30,reviewed,hv,hv
df_EQ Data.csv,76,8033.0,19.1635,-155.475666666667,32.21,3.51,ml,54.0,101,,0.11,hv,hv72826437,2022-02-12T23:06:58.040Z,"4 km S of P?hala, Hawaii",earthquake,0.4,0.51,0.178060182731838,38,reviewed,hv,hv
df_EQ Data.csv,77,8030.0,19.1673333333333,-155.49,36.22,3.51,ml,53.0,102,,0.11,hv,hv72823622,2022-02-12T23:05:59.040Z,"4 km SSW of P?hala, Hawaii",earthquake,0.39,0.5,0.16416541797889403,38,reviewed,hv,hv
df_EQ Data.csv,78,8029.0,19.215999999999998,-155.407166666667,33.87,3.14,ml,54.0,146,,0.13,hv,hv72822217,2022-02-12T23:05:47.040Z,"7 km E of P?hala, Hawaii",earthquake,0.46,0.56,0.13926804451136,35,reviewed,hv,hv
df_EQ Data.csv,79,8027.0,19.5081666666667,-155.66116666666701,4.32,3.26,ml,54.0,46,,0.12,hv,hv72819152,2022-07-26T14:54:51.211Z,"22 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.23,0.3,0.202740730670905,38,reviewed,hv,hv
df_EQ Data.csv,80,8025.0,18.834,-155.197666666667,9.73,3.49,ml,50.0,266,,0.17,hv,hv72817622,2022-02-05T23:03:31.040Z,"47 km ESE of Naalehu, Hawaii",earthquake,0.64,0.69,0.15610912896275597,37,reviewed,hv,hv
df_EQ Data.csv,81,8024.0,18.9703333333333,-155.422166666667,33.69,3.51,ml,54.0,229,,0.12,hv,hv72816147,2022-02-05T23:04:32.040Z,"19 km ESE of Naalehu, Hawaii",earthquake,0.44,0.72,0.16209978722603102,40,reviewed,hv,hv
df_EQ Data.csv,82,8023.0,19.1825,-155.4775,32.45,3.56,ml,57.0,79,,0.11,hv,hv72815092,2022-02-05T23:04:27.040Z,"2 km S of P?hala, Hawaii",earthquake,0.39,0.53,0.178054952366802,40,reviewed,hv,hv
df_EQ Data.csv,83,8020.0,19.324666666666698,-155.201666666667,6.55,3.49,ml,48.0,114,,0.1,hv,hv72811222,2022-01-29T22:55:55.040Z,"13 km SSE of Volcano, Hawaii",earthquake,0.22,0.3,0.156499198979586,39,reviewed,hv,hv
df_EQ Data.csv,84,8018.0,19.169333333333302,-155.478833333333,35.81,3.21,ml,57.0,89,,0.12,hv,hv72808617,2022-01-29T22:55:29.040Z,"Island of Hawaii, Hawaii",earthquake,0.41,0.5,0.19392712535808898,42,reviewed,hv,hv
