Date,SITE_LATITUDE,SITE_LONGITUDE,Daily Max 1-hour SO2 Concentration
734503.0,19.4308,-155.2578,214.0
734504.0,19.4308,-155.2578,524.0
734505.0,19.4308,-155.2578,118.0
734506.0,19.4308,-155.2578,0.0
734507.0,19.4308,-155.2578,0.0
734508.0,19.4308,-155.2578,0.0
734509.0,19.4308,-155.2578,117.0
734510.0,19.4308,-155.2578,0.0
734511.0,19.4308,-155.2578,0.0
734512.0,19.4308,-155.2578,0.0
734513.0,19.4308,-155.2578,0.0
734514.0,19.4308,-155.2578,1550.0
734515.0,19.4308,-155.2578,1214.0
734516.0,19.4308,-155.2578,336.0
734517.0,19.4308,-155.2578,320.0
734518.0,19.4308,-155.2578,168.0
734519.0,19.4308,-155.2578,360.0
734520.0,19.4308,-155.2578,850.0
734521.0,19.4308,-155.2578,9.0
734522.0,19.4308,-155.2578,0.0
734523.0,19.4308,-155.2578,0.0
734524.0,19.4308,-155.2578,21.0
734525.0,19.4308,-155.2578,435.0
734526.0,19.4308,-155.2578,55.0
734527.0,19.4308,-155.2578,941.0
734528.0,19.4308,-155.2578,76.0
734529.0,19.4308,-155.2578,11.0
734530.0,19.4308,-155.2578,0.0
734531.0,19.4308,-155.2578,0.0
734532.0,19.4308,-155.2578,0.0
734533.0,19.4308,-155.2578,0.0
734534.0,19.4308,-155.2578,0.0
734535.0,19.4308,-155.2578,188.0
734536.0,19.4308,-155.2578,196.0
734537.0,19.4308,-155.2578,121.0
734538.0,19.4308,-155.2578,1712.0
734539.0,19.4308,-155.2578,520.0
734540.0,19.4308,-155.2578,902.0
734541.0,19.4308,-155.2578,352.0
734542.0,19.4308,-155.2578,0.0
734543.0,19.4308,-155.2578,0.0
734544.0,19.4308,-155.2578,0.0
734545.0,19.4308,-155.2578,0.0
734546.0,19.4308,-155.2578,0.0
734547.0,19.4308,-155.2578,0.0
734548.0,19.4308,-155.2578,13.0
734549.0,19.4308,-155.2578,0.0
734550.0,19.4308,-155.2578,0.0
734551.0,19.4308,-155.2578,0.0
734552.0,19.4308,-155.2578,0.0
734553.0,19.4308,-155.2578,0.0
734554.0,19.4308,-155.2578,0.0
734555.0,19.4308,-155.2578,0.0
734556.0,19.4308,-155.2578,0.0
734557.0,19.4308,-155.2578,252.0
734558.0,19.4308,-155.2578,142.0
734559.0,19.4308,-155.2578,2.0
734560.0,19.4308,-155.2578,0.0
734561.0,19.4308,-155.2578,1.0
734562.0,19.4308,-155.2578,90.0
734563.0,19.4308,-155.2578,0.0
734564.0,19.4308,-155.2578,295.0
734565.0,19.4308,-155.2578,122.0
734566.0,19.4308,-155.2578,0.0
734567.0,19.4308,-155.2578,170.0
734568.0,19.4308,-155.2578,351.0
734569.0,19.4308,-155.2578,15.0
734570.0,19.4308,-155.2578,0.0
734571.0,19.4308,-155.2578,2.0
734572.0,19.4308,-155.2578,0.0
734573.0,19.4308,-155.2578,0.0
734574.0,19.4308,-155.2578,0.0
734575.0,19.4308,-155.2578,0.0
734576.0,19.4308,-155.2578,0.0
734577.0,19.4308,-155.2578,0.0
734578.0,19.4308,-155.2578,0.0
734579.0,19.4308,-155.2578,0.0
734580.0,19.4308,-155.2578,0.0
734581.0,19.4308,-155.2578,20.0
734582.0,19.4308,-155.2578,159.0
734583.0,19.4308,-155.2578,0.0
734584.0,19.4308,-155.2578,0.0
734585.0,19.4308,-155.2578,0.0
734586.0,19.4308,-155.2578,0.0
734587.0,19.4308,-155.2578,0.0
734588.0,19.4308,-155.2578,0.0
734589.0,19.4308,-155.2578,0.0
734590.0,19.4308,-155.2578,0.0
734591.0,19.4308,-155.2578,0.0
734592.0,19.4308,-155.2578,0.0
734593.0,19.4308,-155.2578,0.0
734594.0,19.4308,-155.2578,106.0
734595.0,19.4308,-155.2578,5.0
734596.0,19.4308,-155.2578,0.0
734597.0,19.4308,-155.2578,65.0
734598.0,19.4308,-155.2578,0.0
734599.0,19.4308,-155.2578,0.0
734600.0,19.4308,-155.2578,0.0
734601.0,19.4308,-155.2578,0.0
734602.0,19.4308,-155.2578,0.0
734603.0,19.4308,-155.2578,0.0
734604.0,19.4308,-155.2578,0.0
734605.0,19.4308,-155.2578,221.0
734606.0,19.4308,-155.2578,158.0
734607.0,19.4308,-155.2578,111.0
734608.0,19.4308,-155.2578,0.0
734609.0,19.4308,-155.2578,0.0
734610.0,19.4308,-155.2578,0.0
734611.0,19.4308,-155.2578,0.0
734612.0,19.4308,-155.2578,0.0
734613.0,19.4308,-155.2578,0.0
734614.0,19.4308,-155.2578,0.0
734615.0,19.4308,-155.2578,0.0
734616.0,19.4308,-155.2578,0.0
734617.0,19.4308,-155.2578,0.0
734618.0,19.4308,-155.2578,0.0
734619.0,19.4308,-155.2578,64.0
734620.0,19.4308,-155.2578,0.0
734621.0,19.4308,-155.2578,0.0
734622.0,19.4308,-155.2578,0.0
734623.0,19.4308,-155.2578,0.0
734624.0,19.4308,-155.2578,0.0
734625.0,19.4308,-155.2578,0.0
734626.0,19.4308,-155.2578,0.0
734627.0,19.4308,-155.2578,0.0
734628.0,19.4308,-155.2578,0.0
734629.0,19.4308,-155.2578,0.0
734630.0,19.4308,-155.2578,0.0
734631.0,19.4308,-155.2578,0.0
734632.0,19.4308,-155.2578,0.0
734633.0,19.4308,-155.2578,0.0
734634.0,19.4308,-155.2578,0.0
734635.0,19.4308,-155.2578,0.0
734636.0,19.4308,-155.2578,161.0
734637.0,19.4308,-155.2578,47.0
734638.0,19.4308,-155.2578,0.0
734639.0,19.4308,-155.2578,0.0
734640.0,19.4308,-155.2578,0.0
734641.0,19.4308,-155.2578,0.0
734642.0,19.4308,-155.2578,0.0
734643.0,19.4308,-155.2578,43.0
734644.0,19.4308,-155.2578,0.0
734645.0,19.4308,-155.2578,0.0
734646.0,19.4308,-155.2578,0.0
734647.0,19.4308,-155.2578,0.0
734648.0,19.4308,-155.2578,0.0
734649.0,19.4308,-155.2578,0.0
734650.0,19.4308,-155.2578,0.0
734651.0,19.4308,-155.2578,0.0
734652.0,19.4308,-155.2578,0.0
734653.0,19.4308,-155.2578,0.0
734654.0,19.4308,-155.2578,0.0
734655.0,19.4308,-155.2578,0.0
734656.0,19.4308,-155.2578,0.0
734657.0,19.4308,-155.2578,0.0
734658.0,19.4308,-155.2578,0.0
734659.0,19.4308,-155.2578,0.0
734660.0,19.4308,-155.2578,0.0
734661.0,19.4308,-155.2578,0.0
734662.0,19.4308,-155.2578,0.0
734663.0,19.4308,-155.2578,0.0
734664.0,19.4308,-155.2578,0.0
734665.0,19.4308,-155.2578,0.0
734666.0,19.4308,-155.2578,134.0
734667.0,19.4308,-155.2578,64.0
734668.0,19.4308,-155.2578,5.0
734669.0,19.4308,-155.2578,0.0
734670.0,19.4308,-155.2578,0.0
734671.0,19.4308,-155.2578,0.0
734673.0,19.4308,-155.2578,0.0
